Product Name,Brand,Category Type,MRP (Maximum Retail Price),Discounted Price / Sale Price,Rating,Number of Reviews,Product URL
Women A-line Gold Midi/Calf Length Dress,Plus,Midi,1999,200,3.6,4,https://www.flipkart.com/pluss-women-a-line-gold-midi-calf-length-dress/p/itme00154eff2374
Women A-line Black Midi/Calf Length Dress,Asmi Myra,Midi,1299,333,0,0,https://www.flipkart.com/aayu-women-a-line-black-pink-midi-calf-length-dress/p/itm501aa46ca8247
Women A-line White Midi/Calf Length Dress,Tulsattva,Midi,1990,826,4.3,52,https://www.flipkart.com/tulsattva-women-a-line-white-midi-calf-length-dress/p/itm402982572f4e9
Women Fit and Flare Red Below Knee Dress,Street,Fit and Flare,3999,1200,3.9,28,https://www.flipkart.com/street9-women-fit-flare-red-below-knee-dress/p/itm1f3934245c34c
Women A-line Black Maxi/Full Length Dress,Jahu Mart,Maxi,1999,358,4,386,https://www.flipkart.com/jahu-mart-women-a-line-black-maxi-full-length-dress/p/itmf35c01010a220
"Women Ethnic Dress Yellow, Light Green Maxi/Full Length Dress",Janasya,Maxi,2699,849,4.1,516,https://www.flipkart.com/janasya-women-ethnic-dress-yellow-light-green-maxi-full-length/p/itmf10afb169dee1
"Women Maxi Blue, Red, Grey Full Length Dress",Vishudh,Maxi,2449,767,3.9,3,https://www.flipkart.com/vishudh-women-maxi-blue-red-grey-full-length-dress/p/itme5ad845bb7c06
Women Layered Pink Midi/Calf Length Dress,Miss Chase,Midi,5995,1499,3.8,17,https://www.flipkart.com/miss-chase-women-layered-multicolor-midi-calf-length-dress/p/itm7b2626765d480
Women Fit and Flare Multicolor Midi/Calf Length Dress,Vymo,Midi,2599,666,4.2,207,https://www.flipkart.com/vymo-women-fit-flare-multicolor-midi-calf-length-dress/p/itm5a9f88d21be20
Women Fit and Flare Blue Midi/Calf Length Dress,Gujari,Midi,1499,428,3.7,711,https://www.flipkart.com/gujari-women-fit-flare-blue-midi-calf-length-dress/p/itm7a2c040dfff1d
Women Fit and Flare White Midi/Calf Length Dress,Cherimoda,Midi,1999,670,4.2,45,https://www.flipkart.com/cherimoda-women-fit-flare-white-midi-calf-length-dress/p/itm1d56c8ed3d3d8
Women Fit and Flare Black Mini/Short Dress,Tivante,Fit and Flare,999,369,3.9,12,https://www.flipkart.com/tivante-women-fit-flare-black-mini-short-dress/p/itmc427bb9553ebe
Women Maxi Multicolor Full Length Dress,Indibelle,Maxi,2599,644,4.2,26,https://www.flipkart.com/indibelle-women-maxi-multicolor-full-length-dress/p/itm17f0125175017
Women Fit and Flare Multicolor Midi/Calf Length Dress,Vbuyz,Midi,4299,899,0,0,https://www.flipkart.com/vbuyz-women-fit-flare-multicolor-midi-calf-length-dress/p/itmdc9c698600183
Women Fit and Flare Green Maxi/Full Length Dress,Fashion wear,Maxi,999,460,3.8,286,https://www.flipkart.com/fashion2wear-women-fit-flare-green-maxi-full-length-dress/p/itmf9ea0a7c755d1
Women A-line Light Green Maxi/Full Length Dress,Jahu Mart,Maxi,999,363,4,386,https://www.flipkart.com/jahu-mart-women-a-line-light-green-maxi-full-length-dress/p/itmcb6b1bd94757d
"Women Fit and Flare Black, Grey Knee Length Dress",Plus,Fit and Flare,2199,550,3.8,13,https://www.flipkart.com/pluss-women-fit-flare-black-grey-knee-length-dress/p/itm945400ddc1826
Women A-line Purple Below Knee Dress,Aayu,A-line,1299,489,4,372,https://www.flipkart.com/aayu-women-a-line-purple-below-knee-dress/p/itmf609cd0ac4923
Women Fit and Flare Pink Midi/Calf Length Dress,Stylum,Midi,2899,819,4.1,221,https://www.flipkart.com/stylum-women-fit-flare-pink-midi-calf-length-dress/p/itm5a0b38dedd1e5
Women Maxi Multicolor Full Length Dress,Emeros,Maxi,2199,388,3.7,250,https://www.flipkart.com/emeros-women-maxi-multicolor-full-length-dress/p/itm534306c519484
Women Fit and Flare Red Below Knee Dress,Sheetal,Fit and Flare,1349,351,4.2,204,https://www.flipkart.com/sheetal-associates-women-fit-flare-red-beige-below-knee-dress/p/itmd0dbc7548088f
Women Fit and Flare Light Green Midi/Calf Length Dress,Demirner,Midi,1699,500,4,173,https://www.flipkart.com/demirner-women-fit-flare-light-green-midi-calf-length-dress/p/itm93dd04339f71c
Women A-line Brown Above Knee/Mid Thigh Length Dress,Aahwan,A-line,1999,478,4,589,https://www.flipkart.com/aahwan-women-a-line-brown-above-knee-mid-thigh-length-dress/p/itmf12c4f52f94e8
Women A-line Yellow Midi/Calf Length Dress,Siddiqa,Midi,999,444,3.6,9,https://www.flipkart.com/siddiqa-creation-women-a-line-yellow-midi-calf-length-dress/p/itm0222c303db559
Women Maxi Multicolor Full Length Dress,Mudras Fashion,Maxi,1999,367,3.5,8,https://www.flipkart.com/mudras-fashion-women-maxi-multicolor-full-length-dress/p/itme9a26c405d6eb
Women A-line Multicolor Knee Length Dress,Jaipuri Bunaai,A-line,3999,475,3.8,144,https://www.flipkart.com/jaipuri-bunaai-women-a-line-multicolor-knee-length-dress/p/itmf62e7fde2a7ef
"Women Fit and Flare Green, White Midi/Calf Length Dress",Honky Tonky,Midi,1999,349,4.2,214,https://www.flipkart.com/honky-tonky-women-fit-flare-green-white-midi-calf-length-dress/p/itmcf42dab0804a3
Women Fit and Flare Pink Maxi/Full Length Dress,Tokyo Talkies,Maxi,2699,551,0,0,https://www.flipkart.com/tokyo-talkies-women-fit-flare-pink-maxi-full-length-dress/p/itm77b24497adca8
Women Ethnic Dress Yellow Maxi/Full Length Dress,Krulrin,Maxi,1999,765,3.8,30,https://www.flipkart.com/krulrin-women-ethnic-dress-yellow-maxi-full-length/p/itmef10b8a390c1a
Women Balloon/Bubble Dark Blue Knee Length Dress,Get Glamr,Unknown,1999,899,4.2,75,https://www.flipkart.com/get-glamr-women-balloon-bubble-dark-blue-knee-length-dress/p/itm1438163028af9
Women Bodycon Maroon Below Knee Dress,Tokyo Talkies,Bodycon,1449,449,4.4,12,https://www.flipkart.com/tokyo-talkies-women-bodycon-maroon-below-knee-dress/p/itm6dbb2ea83d47c
Women Fit and Flare Blue Maxi/Full Length Dress,Globus,Maxi,1499,891,4.1,1,https://www.flipkart.com/globus-women-fit-flare-blue-maxi-full-length-dress/p/itm4865cd896ffb4
Women Skater Pink Midi/Calf Length Dress,Tokyo Talkies,Midi,1049,327,4.2,45,https://www.flipkart.com/tokyo-talkies-women-skater-pink-midi-calf-length-dress/p/itmbf9e3b7ebd63b
Women Maxi Blue Full Length Dress,Tokyo Talkies,Maxi,2449,670,4.2,53,https://www.flipkart.com/tokyo-talkies-women-maxi-blue-full-length-dress/p/itmbdea516184f79
"Women Fit and Flare Orange, White Above Knee/Mid Thigh Length Dress",Tokyo Talkies,Fit and Flare,1399,519,3.8,1,https://www.flipkart.com/tokyo-talkies-women-fit-flare-orange-white-above-knee-mid-thigh-length-dress/p/itm1be908c9dbd9c
Women A-line Pink Midi/Calf Length Dress,Tton Mulmul,Midi,1999,439,0,0,https://www.flipkart.com/akshara-fashion-women-fit-flare-pink-white-midi-calf-length-dress/p/itmcb111b1130d17
"Women Fit and Flare Pink, White Maxi/Full Length Dress",Aayu,Maxi,1999,494,4,1404,https://www.flipkart.com/aayu-women-fit-flare-pink-white-maxi-full-length-dress/p/itm762ea32293057
Women Bodycon Black Knee Length Dress,Tokyo Talkies,Bodycon,949,339,4.1,37,https://www.flipkart.com/tokyo-talkies-women-bodycon-black-knee-length-dress/p/itm00f34a9b1e5b2
Women Drop Waist Maroon Above Knee/Mid Thigh Length Dress,Beme,Unknown,1999,413,3.3,4,https://www.flipkart.com/be4me-com-women-drop-waist-maroon-above-knee-mid-thigh-length-dress/p/itme408079601264
Women Fit and Flare Green Midi/Calf Length Dress,Aayu,Midi,1999,498,4.2,2801,https://www.flipkart.com/aayu-women-fit-flare-green-midi-calf-length-dress/p/itm0085049a3b00f
Women A-line Purple Midi/Calf Length Dress,Tton Mulmul,Midi,1999,419,3.9,12,https://www.flipkart.com/cotton-mulmul-store-women-a-line-purple-midi-calf-length-dress/p/itm4f55e1da3e9ca
Women Bodycon Black Midi/Calf Length Dress,Harpa,Midi,1999,821,4.1,303,https://www.flipkart.com/harpa-women-bodycon-black-midi-calf-length-dress/p/itm77ff1e866e355
Women Fit and Flare Blue Ankle Length Dress,Gujari,Fit and Flare,1499,430,3.7,63,https://www.flipkart.com/gujari-women-fit-flare-blue-ankle-length-dress/p/itm2a19eff57bdb0
Women Bodycon Blue Below Knee Dress,Tessavegas,Bodycon,1999,646,4.2,91,https://www.flipkart.com/tessavegas-women-bodycon-blue-below-knee-dress/p/itm9a4b98292b71e
Women Ribbed Yellow Midi/Calf Length Dress,Tokyo Talkies,Midi,1049,349,4.2,164,https://www.flipkart.com/tokyo-talkies-women-ribbed-yellow-midi-calf-length-dress/p/itm940113df1ddbc
Women Ethnic Dress White Midi/Calf Length Dress,Woclo Enterprise,Midi,2499,494,3.8,61,https://www.flipkart.com/woclo-enterprise-women-ethnic-dress-white-midi-calf-length/p/itm4864d66f38080
Women Tiered Green Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Unknown,2149,719,4.4,24,https://www.flipkart.com/tokyo-talkies-women-tiered-green-above-knee-mid-thigh-length-dress/p/itm2c6114577e2aa
Women Shirt Maroon Above Knee/Mid Thigh Length Dress,Tokyo Talkies,Unknown,1449,599,4.2,37,https://www.flipkart.com/tokyo-talkies-women-shirt-maroon-above-knee-mid-thigh-length-dress/p/itmfd3e4ffb04785
Women Fit and Flare Black Maxi/Full Length Dress,Globus,Maxi,1899,1040,4.2,11,https://www.flipkart.com/globus-women-fit-flare-black-maxi-full-length-dress/p/itmbbd6be71cfc9b
Women Fit and Flare Green Above Knee/Mid Thigh Length Dress With Mask,Rudraaksha,Fit and Flare,1999,360,3.9,1880,https://www.flipkart.com/rudraaksha-women-fit-flare-green-above-knee-mid-thigh-length-dress-mask/p/itm08892764453a3
Women Tiered Pink Midi/Calf Length Dress,Janasya,Midi,2798,899,4.1,1,https://www.flipkart.com/janasya-women-tiered-pink-midi-calf-length-dress/p/itm39a75b7569eb1
Women Fit and Flare Pink Knee Length Dress,God Bless,Fit and Flare,1549,419,4.1,660,https://www.flipkart.com/god-bless-women-fit-flare-pink-knee-length-dress/p/itmca41c2b4f63d8
Women Asymmetric Blue Maxi/Full Length Dress,Miss Chase,Maxi,3995,1499,4.1,9,https://www.flipkart.com/miss-chase-women-asymmetric-blue-maxi-full-length-dress/p/itm924021ec385e2
Women Kaftan Pink Ankle Length Dress,Sidh Sawai,Kaftan,1499,398,3.7,105,https://www.flipkart.com/sidh-sawai-women-kaftan-pink-ankle-length-dress/p/itm27680857aca95
Women T Shirt Black Above Knee/Mid Thigh Length Dress,Sassafras,Unknown,1599,639,4.3,67,https://www.flipkart.com/sassafras-women-t-shirt-black-above-knee-mid-thigh-length-dress/p/itmfgxugz75gwrhq
